Date,Close,High,Low,Open,Volume
2017/01/09,299.6982422,303.4561826,298.0041563,299.0876648,3540500
2017/01/10,300.1195984,302.699423,298.0557439,299.646641,3172764
2017/01/11,297.066864,299.2597048,295.3899672,299.2597048,2359851
2017/01/12,298.442688,298.7436728,296.2584555,298.0127172,1777940
2017/01/13,296.5680237,298.7350931,295.71669,298.3825139,1828248
2017/01/16,293.6442261,296.5078197,291.3481707,295.9316736,3685545
2017/01/17,300.377533,302.2694146,294.099971,294.6159411,3518838
2017/01/18,305.3480225,306.8013257,298.5802869,300.0164008,4600570
2017/01/19,305.0384216,308.2718098,302.441408,305.2792042,2852392
2017/01/20,305.2706299,307.3430921,303.5851519,305.1932383,2134417
2017/01/23,302.028656,309.4069426,300.5151506,306.8959281,3258118
2017/01/24,301.2460938,303.3873396,298.1847042,302.0716302,2691458
2017/01/25,298.9414368,300.9623043,297.7117268,300.9623043,2299036
2017/01/26,296.1809998,299.9475207,293.4979608,299.3799825,3782617
2017/02/03,298.2707214,300.2743736,296.6798244,297.5397659,2093643
2017/02/06,298.2707214,300.0250095,296.6454194,299.6810119,1568079
2017/02/07,295.4586792,298.7436619,295.0803291,298.2620968,2051983
2017/02/08,296.0004578,297.1097897,294.6761667,295.6134998,1908854
2017/02/09,298.9243164,299.9390675,296.3444914,296.6798812,2332438
2017/02/10,296.7485962,300.8247367,296.6798124,299.7927964,2405659
2017/02/13,300.7645569,302.613426,294.0312261,295.819893,5358790
2017/02/14,301.1600952,303.2153679,300.2055728,300.5839491,2655868
2017/02/15,299.7154236,303.0777982,298.5717129,302.269451,2625696
2017/02/16,299.3370361,299.7928041,297.1183986,299.6896153,1764230
2017/02/17,301.4611206,304.7976982,298.8297014,300.0336144,2910234
2017/02/20,310.6882629,311.5740016,300.9881241,301.3320955,6185340
2017/02/21,308.4953918,311.6685779,307.1538853,311.1956206,2770577
2017/02/22,311.2042542,315.1857614,309.5789521,310.1035038,3713031
2017/02/23,311.0408936,314.2914718,309.3726047,310.4131267,2332806
2017/02/24,311.8319702,312.0641712,309.6219143,311.2988107,1769278
2017/02/27,307.1711121,312.0297763,306.8271145,311.7201837,2540046
2017/02/28,304.9868469,308.8909886,304.0580954,306.9991068,2747351
2017/03/01,306.6637573,308.0310875,305.279264,305.3652634,2194420
2017/03/02,306.8443909,306.9991741,304.8751171,306.7497836,2210362
2017/03/03,306.6035767,308.0482722,305.2792593,305.2792593,1415355
2017/03/06,308.6846008,309.1833816,306.6121386,307.5666874,2281884
2017/03/07,315.7705383,317.2152338,307.884863,307.884863,4628698
2017/03/08,315.8393555,316.8798775,314.3086604,315.7533561,1603770
2017/03/09,318.0923462,318.1611562,314.3602033,315.5985212,2340606
2017/03/10,318.049408,324.1979852,316.7680771,318.1096102,4095105
2017/03/13,319.511261,321.9018974,316.0543055,318.2213487,2767432
2017/03/14,317.7483826,321.4891333,316.7508473,319.5112521,2041649
2017/03/15,322.2029419,322.6071155,317.3270873,317.7484503,2515526
2017/03/16,322.2802734,325.3158659,320.5861876,323.8195761,2502260
2017/03/17,325.4707031,330.6045555,320.8442132,320.8442132,3470026
2017/03/20,332.2900085,332.5479805,325.8146499,327.207751,3154594
2017/03/21,338.825531,340.9667768,332.3673625,332.410349,4846096
2017/03/22,339.2297058,339.3328946,331.0774516,335.8329267,4553271
2017/03/23,335.1966858,338.8084252,332.4534696,337.1229468,3450481
2017/03/24,332.6426086,338.1462295,331.0775087,337.3722873,3328772
2017/03/27,325.7630615,334.7408533,325.4878739,331.9632327,5369028
2017/03/28,327.0013733,327.7667076,323.9055785,326.7347935,4118717
